"","Total","Male","Female"
"1841",372773,170930,201843
"1851",405147,187286,217861
"1861",410252,191435,218817
"1871",405262,188108,217154
"1881",418910,197740,221170
"1891",419216,197409,221807
"1901",448206,211786,236420
"1911",477196,226364,250832
"1926",505654,238995,266659
"1936",586925,277098,309827
"1946",636193,292205,343988
"1951",693022,326126,366896
"1956",705781,329627,376154
"1961",718332,335004,383328
"1966",795047,375692,419355
"1971",852219,406008,446211
"1979",983683,473104,510579
"1981",1003164,482342,520822
"1986",1021449,492279,529170
"1991",1025304,492432,532872
"1996",1058264,508966,549298
"2002",1122821,544075,578746
"2006",1187176,582557,604619
"2011",1273069,619902,653167
"2016",1347359,658371,688988
